date,open,high,low,close,volume,trend
1/4/2021,30223.89063,30674.2793,29881.82031,30627.4707,475080000,
1/5/2021,30391.59961,30504.89063,30141.7793,30204.25,350910000,down
1/6/2021,30829.40039,31022.65039,30313.07031,30362.7793,500430000,up
1/7/2021,31041.13086,31193.40039,30897.85938,30901.17969,427810000,up
1/8/2021,31097.9707,31140.66992,30793.26953,31069.58008,381150000,up
1/11/2021,31008.68945,31096.98047,30832.06055,31015.36914,356540000,down
1/12/2021,31068.68945,31114.56055,30888.75977,31015.00977,362620000,down
1/13/2021,31060.4707,31153.36914,30992.05078,31084.88086,413250000,up
1/14/2021,30991.51953,31223.7793,30982.24023,31085.66992,427810000,up
1/15/2021,30814.25977,30941.98047,30612.66992,30926.76953,433000000,down
1/19/2021,30930.51953,31086.61914,30865.0293,30887.41992,386400000,down
1/20/2021,31188.38086,31235.98047,30997.78906,31017.53906,384980000,up
1/21/2021,31176.00977,31272.2207,31120.91992,31198.00977,418780000,up
1/22/2021,30996.98047,31141.56055,30908.4707,31141.56055,436040000,down
1/25/2021,30960,30989.84961,30564.06055,30989.84961,472890000,down
1/26/2021,30937.03906,31121.41992,30921.71094,30968.55078,373150000,down
1/27/2021,30303.16992,30893.7793,30206.91016,30893.7793,566470000,down
1/28/2021,30603.35938,30951.41016,30377.18945,30377.18945,465140000,down
1/29/2021,29982.61914,30553.91016,29856.30078,30553.91016,536320000,up
2/1/2021,30211.91016,30335.91016,30014.9707,30054.73047,347060000,down
2/2/2021,30687.48047,30840.53906,30276.88086,30276.88086,333160000,up
2/3/2021,30723.59961,30793.41016,30521.31055,30689.65039,305590000,up
2/4/2021,31055.85938,31065.96094,30737.7793,30737.7793,338330000,up
2/5/2021,31148.24023,31252.17969,31083.2207,31093.81055,293550000,up
2/8/2021,31385.75977,31386.09961,31191.19922,31191.19922,322250000,up
2/9/2021,31375.83008,31439.4707,31245.85938,31359.88086,308210000,up
2/10/2021,31437.80078,31511.43945,31221.32031,31428.01953,326450000,up
2/11/2021,31430.69922,31543.82031,31244.35938,31466.49023,280320000,up
2/12/2021,31458.40039,31475.31055,31347.80078,31420.80078,263090000,down
2/16/2021,31522.75,31608.63086,31443.48047,31472.08008,329210000,up
2/17/2021,31613.01953,31643.69922,31338.75977,31485.60938,343510000,up
2/18/2021,31493.33984,31558.59961,31285.32031,31558.59961,325990000,up
2/19/2021,31494.32031,31647.5293,31469.33984,31504.13086,353070000,down
2/22/2021,31521.68945,31653.48047,31286.57031,31381.11914,387210000,down
2/23/2021,31537.34961,31653.38086,31158.75977,31501.89063,460410000,up
2/24/2021,31961.85938,32009.64063,31421.28906,31499.75,410150000,down
2/25/2021,31402.00977,31984.76953,31293.32031,31955.93945,454110000,up
2/26/2021,30932.36914,31450.89063,30911.36914,31401.28906,532250000,down
3/1/2021,31535.50977,31668.33984,31065.90039,31065.90039,385670000,down
3/2/2021,31391.51953,31623.26953,31377.16016,31535.36914,337270000,up
3/3/2021,31270.08984,31563.31055,31260.14063,31352.96094,409660000,down
3/4/2021,30924.14063,31461.9707,30547.5293,31289.00977,537850000,down
3/5/2021,31496.30078,31580.33008,30766.81055,31029.17969,501810000,down
3/8/2021,31802.43945,32148.03906,31512.15039,31512.15039,496980000,up
3/9/2021,31832.74023,32150.32031,31822.64063,31892.34961,458690000,up
3/10/2021,32297.01953,32389.5,31906.96094,31906.96094,409110000,up
3/11/2021,32485.58984,32661.58984,32345.69922,32354.5,400020000,up
3/12/2021,32778.64063,32793.32031,32462.40039,32462.40039,346400000,up
3/15/2021,32953.46094,32973.39844,32629.75,32798.83984,360080000,up
3/16/2021,32825.94922,32966.75,32778.23047,32966.75,386370000,up
3/17/2021,33015.37109,33047.57813,32782.17969,32825.51953,391200000,down
3/18/2021,32862.30078,33227.78125,32831.25,32928.16016,418480000,up
3/19/2021,32627.9707,32858.35938,32505.07031,32858.35938,811890000,down
3/22/2021,32731.19922,32810.35156,32512.5293,32601.82031,383500000,down
3/23/2021,32423.15039,32753.76953,32356.2793,32691.5,385840000,up
3/24/2021,32420.06055,32787.98828,32418.15039,32470.88086,399390000,down
3/25/2021,32619.48047,32672.68945,32071.41016,32346.81055,411990000,down
3/26/2021,33072.87891,33098.82813,32681.07031,32681.07031,382170000,up
3/29/2021,33171.37109,33259,32905.12891,33087.55078,351610000,up
3/30/2021,33066.96094,33170.92969,32988.92188,33127.87891,307510000,up
